CTR;Steer
-0.1357;-0.0101908
-0.1372;-0.0086972
-0.1378;-0.0103383
-0.1384;-0.0101791
-0.1389;-0.0102347
-0.1362;-0.0169716
-0.1376;-0.00849275
-0.1214;-0.0460621
-0.0736;-0.116395
-0.0537;-0.0635534
-0.0339;-0.0663065
0.0051;-0.110559
0.0242;-0.0736361
0.0425;-0.0748024
0.0605;-0.0769326
0.078;-0.0785966
0.1116;-0.115892
0.1277;-0.0833713
0.1712;-0.144782
0.1843;-0.086039
0.1963;-0.0857372
0.2185;-0.109576
0.238;-0.10722
0.2465;-0.0866187
0.2612;-0.101354
0.2728;-0.0970307
0.2774;-0.0838593
0.2812;-0.08297
0.2867;-0.0873383
0.2884;-0.0801375
0.2894;-0.0790322
0.2876;-0.073306
0.2856;-0.0727488
0.2797;-0.0642037
0.2757;-0.0675415
0.266;-0.0548195
0.2603;-0.0620946
0.2471;-0.0452382
0.2397;-0.0558481
0.2319;-0.053994
0.2147;-0.0327214
0.2053;-0.047014
0.1856;-0.0235518
0.1751;-0.0404644
0.1534;-0.0148861
0.1421;-0.0340621
0.1306;-0.0320024
0.1188;-0.0296918
0.1067;-0.0273302
0.0818;0.00196395
0.0691;-0.0205656
0.0563;-0.0184738
0.0302;0.0120261
0.017;-0.0118024
-0.0091;0.0179172
-0.0222;-0.0061067
-0.0351;-0.00455415
-0.0609;0.0251463
-0.0865;0.0286295
-0.0991;0.0045691
-0.1233;0.0314608
-0.1351;0.0084983
-0.1465;0.00948155
-0.1577;0.0108404
-0.1796;0.0356152
-0.1901;0.0144852
-0.21;0.0363752
-0.2194;0.016895
-0.2284;0.0175591
-0.2454;0.0362319
-0.2527;0.0180532
-0.2664;0.0330414
-0.2797;0.0343762
-0.269;-0.0150942
-0.2246;-0.089042
-0.2006;-0.0517417
-0.1766;-0.0552533
-0.1527;-0.058562
-0.082;-0.162726
-0.0357;-0.120853
-0.0138;-0.0753313
0.0279;-0.1212
0.048;-0.0810392
0.0672;-0.0821528
0.0859;-0.0840008
0.1216;-0.123417
0.1385;-0.0884208
0.184;-0.152538
0.1975;-0.0906616
0.221;-0.114297
0.2313;-0.0895577
0.2491;-0.107352
0.2567;-0.0882206
0.2739;-0.110138
0.2831;-0.0956591
0.2846;-0.0806264
0.2839;-0.0762633
0.2801;-0.0696334
0.277;-0.0707069
0.2732;-0.0688735
0.2634;-0.0555352
0.2575;-0.0625789
0.2509;-0.0603144
0.2357;-0.0409522
0.2277;-0.0542661
0.2222;-0.0585522
0.2192;-0.0632118
0.2218;-0.0749127
0.2318;-0.0913286
0.236;-0.0804766
0.2422;-0.0855277
0.2441;-0.0773348
0.2454;-0.0764525
0.2457;-0.0746203
0.2433;-0.068982
0.241;-0.0689575
0.2346;-0.0599148
0.2256;-0.0534776
0.2202;-0.0599777
0.2077;-0.0440065
0.2007;-0.0540569
0.1932;-0.0520285
0.1852;-0.0499211
0.1677;-0.0283799
0.1582;-0.043034
0.1278;0.0032621
0.1169;-0.0341614
0.106;-0.0325793
0.0833;-0.005616
0.0714;-0.0254667
0.0595;-0.0237114
0.0351;0.004931
